series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,documentation,subjects,topics,people,places
01,01,001,ITEM,"Item 001: Tribune negatives including portraits of Frederick Rose, Wal Buckley, Jim Baird, and Noel Counihan, and Parliament House, New South Wales, 196-",ON 161/Item 001,1046072,110370001,IE4513478,196-,1960-01-01 00:00:00,1969-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370001,http://archival.sl.nsw.gov.au/Details/archive/110366604,30,FL4513557|FL4513559|FL4513561|FL4513564|FL4513567|FL4513569|FL4513571|FL4513573|FL4513574|FL4513576|FL4513579|FL4513580|FL4513582|FL4513584|FL4513585|FL4513587|FL4513589|FL4513591|FL4513592|FL4513594|FL4513597|FL4513599|FL4513601|FL4513603|FL4513605|FL4513607|FL4513609|FL4513610|FL4513612|FL4513614,"Original negative sleeve titled No. 1 Personalities.|Includes:|Wharfies in ships hold, Prior [to] 1964, Row 1, nos. 1-3.|Prof. Fred [Frederick] Rose, Row 1, nos. 4-6.|Original negative sleeve annotated nos. 4-6 Fred Rose.|Wal Buckley, organiser Amalgamated Engineering Union, 1965?, Row 2, nos. 1-2.|Jim Baird, organiser AEU [Amalgamated Engineering Union], 1965?.|N.S.W. State Parliament House [including group standing outside Parliament House with camera and microphone].|Mt Isa woman (?), mid 1960's.|Noel Counahan (?) [i.e. Noel Counihan] artist, 1964-6?|Motor Cyclists, Row 5|Started at 168 Day Street, 10 November 1964|[Speaker with pamphlets, outside Unity Hall Hotel].",,Anthropologists--Australia.|Labor unions--Australia--Officials and employees.,motorcycles|motorcyclists|artists|trade union officials|wharf labourers,"Rose, Frederick G. G. (Frederick George Godfrey), 1915-1991|Counihan, Noel, 1913-1986","Parliament House (Sydney, N.S.W.)"
01,01,002,ITEM,"Item 002 : Tribune negatives including portraits of Frank Hardy and Stan Moran, and Rushcutter Bowl and Sydney Stadium, Rushcutters Bay, New South Wales, ca. 1964-1965",ON 161/Item 002,1046078,110370005,IE4511913,ca. 1964-1965,1964-01-01 00:00:00,1965-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370005,http://archival.sl.nsw.gov.au/Details/archive/110366604,35,FL4512030|FL4512031|FL4512033|FL4512034|FL4512035|FL4512036|FL4512037|FL4512039|FL4512040|FL4512041|FL4512042|FL4512044|FL4512045|FL4512046|FL4512049|FL4512050|FL4512051|FL4512052|FL4512053|FL4512054|FL4512055|FL4512056|FL4512057|FL4512058|FL4512059|FL4512060|FL4512061|FL4512062|FL4512066|FL4512068|FL4512069|FL4512070|FL4512072|FL4512074|FL4512076,"Original negative sleeve titled No. 2 Personalities, Jan. and Feb. 1965|Includes:|Rushcutters Bay Bowl, 17 Jan 65, Row 5, nos. 1-2.|Rushcutters Bay Stadium, 17 Jan 65, Row 5, nos. 3-5.||Frank Airs, boilermaker from Mt. Isa, 8 March 65, Q. Row 3, nos. 1-3.|Stan Moran (veteran), wharfie, WWF [Waterside Workers Federation of Australia] Vigilance Officer, 1965?|Original negative sleeve annotated nos. 7-10 Stan Moran.|Harry Black, wharfie, Row 6, nos. 1-2.|Ron Marriott, CPA organiser, ca. 1965, Row 6, nos. 3-4.|Frank Hardy (author), ca. 1964, Row 4, nos. 1-6.|Sydney University anti-conscription meeting. Prof. T. Wheelwright & Prof. Mackinson [i.e. Makinson], 11 Nov 64.",,"Authors, Australian--20th century.|Labor unions -- New South Wales -- Officials and employees.",boilermakers|wharf labourers|bowling alleys|stadiums|trade union officials,"Hardy, Frank (Francis Joseph), 1917-1994","Rushcutter Bowl (Bayswater Road, Rushcutters Bay, N.S.W.)|Sydney Stadium (Rushcutters Bay, N.S.W.)"
01,01,003,ITEM,"Item 003 : Tribune negatives including photographs of Lloyd Ross and union meetings, 1964-1965",ON 161/Item 003,1046077,110370004,IE4513075,1964-1965,1964-01-01 00:00:00,1965-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370004,http://archival.sl.nsw.gov.au/Details/archive/110366604,30,FL4513174|FL4513175|FL4513180|FL4513182|FL4513183|FL4513185|FL4513186|FL4513188|FL4513189|FL4513191|FL4513192|FL4513194|FL4513196|FL4513198|FL4513200|FL4513203|FL4513204|FL4513206|FL4513208|FL4513209|FL4513212|FL4513213|FL4513216|FL4513218|FL4513220|FL4513222|FL4513223|FL4513225|FL4513227|FL4513229,"Original negative sleeve titled No. 3 December 1964, and annotated|no. 1 Dr Lloyd Ross;|no. 18 Charlie Gould;|no. 19 Lloyd Ross;|nos. 20-21 Police cars shadow W.W.F. [Waterside Workers' Federation] for Pat Mackey [Pat Mackie];|nos. 23-30 W.W.F. Members donate to support Mt. Isa workers, Jan. 65.|Includes:|Unionists at meetings",,Labor unions--Officials and employees.,trade unionists|meetings,"Ross, Lloyd (Lloyd Maxwell), 1901-1987",
01,01,004,ITEM,"Item 004: Tribune negatives including international soccer matches between Torpedo Moscow and Sydney and N.S.W. XI, Sydney, New South Wales, February-March 1965",ON 161/Item 004,1046087,110370012,IE4513350,February-March 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370012,http://archival.sl.nsw.gov.au/Details/archive/110366604,34,FL4513444|FL4513445|FL4513446|FL4513447|FL4513448|FL4513449|FL4513450|FL4513451|FL4513452|FL4513453|FL4513454|FL4513455|FL4513456|FL4513457|FL4513458|FL4513459|FL4513460|FL4513461|FL4513462|FL4513463|FL4513464|FL4513465|FL4513466|FL4513467|FL4513468|FL4513469|FL4513470|FL4513471|FL4513472|FL4513473|FL4513474|FL4513475|FL4513476|FL4513477,"Original negative sleeve titled No. 4 Moscow Torpedo, Sydney, 27/2/65, and annotated:|Moscow Torpedo soccer team A.S.F.S. reception and game, 27/2/65;|nos. 33-36 2nd game vs N.S.W., 21/3/65.|Includes:|Moscow Torpedo soccer team at the Graphic Arts Club, Sydney, 27 February 1965",,Soccer--New South Wales--Sydney.,soccer teams|soccer players|crowds|receptions,,Sydney Showground (N.S.W.)
01,01,005,ITEM,"Item 005: Tribune negatives including International Women's Day march and anti-Vietnam War demonstration, Sydney, New South Wales, March-April 1965",ON 161/Item 005,1046091,110370014,IE4518248,March-April 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370014,http://archival.sl.nsw.gov.au/Details/archive/110366604,36,FL4518250|FL4518251|FL4518252|FL4518253|FL4518254|FL4518255|FL4518256|FL4518257|FL4518258|FL4518259|FL4518260|FL4518261|FL4518262|FL4518263|FL4518264|FL4518265|FL4518266|FL4518267|FL4518268|FL4518269|FL4518270|FL4518271|FL4518272|FL4518273|FL4518274|FL4518275|FL4518276|FL4518277|FL4518278|FL4518279|FL4518280|FL4518281|FL4518282|FL4518283|FL4518284|FL4518285,"Original negative sleeve titled No. 5 International Women's Day, and annotated nos. 1-27 International Women's Day celebrations, 8/3/65.|Includes:|Vigil outside US Consulate, Sydney, 4 March 1965.|Vietnam War demonstration at Wynyard Street (300-350), 8 April 1965, Row 5, nos. 4-6 ; Row 6",,"International Women's Day--New South Wales--Sydney.|Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney|Anti-war demonstrations--New South Wales--Sydney.",women|musicians|demonstrations|posters & placards,,"United States Consulate-General (7 Wynyard Street, Sydney, N.S.W.)"
01,01,006,ITEM,"Item 006: Tribune negatives including New World Booksellers and arrival of Great Moscow Circus, Sydney, New South Wales, 1965",ON 161/Item 006,1046092,110370015,IE4518955,1965,1965-01-01 00:00:00,1965-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370015,http://archival.sl.nsw.gov.au/Details/archive/110366604,36,FL4518957|FL4518958|FL4518960|FL4518962|FL4518964|FL4518965|FL4518966|FL4518968|FL4518970|FL4518972|FL4518974|FL4518975|FL4518978|FL4518981|FL4518983|FL4518985|FL4518987|FL4518990|FL4518991|FL4518992|FL4518993|FL4518995|FL4518996|FL4518998|FL4519001|FL4519003|FL4519006|FL4519008|FL4519009|FL4519010|FL4519011|FL4519012|FL4519013|FL4519015|FL4519017|FL4519018,"Original negative sleeve titled No. 6 Soviet Circus, Sydney, Feb. 65|Includes:|Moscow circus women at UAW [Union of Australian Women] function, 27 April 1965.|Ivan Komanov, 30 January 1965, Row 4, nos. 1-2.|[New World Booksellers, 425 Pitt Street, Sydney].",,Circus--Australia.|Bookstores--New South Wales--Sydney.,airports|bookshops|performers,Great Moscow Circus,
01,01,007,ITEM,"Item 007: Tribune negatives including Matt Munro and Alexander Stanley, Moree, New South Wales, February 1965",ON 161/Item 007,1046096,110370018,IE723690,February 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370018,http://archival.sl.nsw.gov.au/Details/archive/110366604,23,FL723804|FL723806|FL723808|FL723810|FL723813|FL723815|FL723817|FL723820|FL723822|FL723824|FL723826|FL723828|FL723829|FL723833|FL723835|FL723837|FL723839|FL723841|FL723843|FL723845|FL723849|FL723850|FL723852,"Image descriptions provided by cataloguer.|1-2. Smoke rising from side of the road.|3-4. Balo Street, Moree, February 1965.|5. Heber Street, Moree, February 1965.|6. Fred Craigie and Ronald McGrady (with towel), Moree Artesian Baths, February 1965.|7-10. Student Action For Aborigines bus, showing damage, with bus driver Bill Pakenham, February 1965.|11. Men in hallway, Methodist Memorial Hall, Moree.|12-13. Methodist Memorial Hall, Moree, February 1965.|14-16. Matt Munro (Waterside Workers' Federation) with Alexander 'Digger' Stanley (WWI veteran) outside Moree Services Club, February 1965.|17. Alexander Stanley, Matt Munro and Stanley Waters? (brother of Leonard Waters) outside Moree Services Club, February 1965.|18. Two women and children, Moree Aboriginal Reserve, February 1965.|19-21. Views showing housing at Moree Aboriginal Reserve? February 1965.|22. Schoolchildren at Moree Aboriginal Reserve. Left to right: Stanley Binge, Jacqueline Cain, Heather Hammond, (unidentified), Julie Munro, Ronald Smith, February 1965.|23. Schoolchildren at Moree Aboriginal Reserve. Left to right: Stanley Binge, Heather Hammond, Jacqueline Cain, Julie Munro, (unidentified), February 1965.","no. 22 published in Tribune: 24 February 1965, front page. Caption: A group of typical Aborigine school children at Moree sharply refutes such slanders [related to Moree Artesian baths and hygiene].",,houses|children|city & town streets|portraits|Aboriginal peoples (Australians)|Aboriginal reserves|bus drivers|returned servicepeople,"Stanley, Alexander, 1895-1968|Cain, Jacqueline|Binge, Stanley|Hammond, Heather|Munro, Julie|Smith, Ronald|Munro, Matt, 1906-1980",Moree (N.S.W.)
01,01,008,ITEM,"Item 008: Tribune negatives including Committee Against Atomic Testing protest against the arrival of French warships in Sydney Harbour, New South Wales, 4 January 1965",ON 161/Item 008,1046099,110370020,IE4519723,4 January 1965,1965-01-01 00:00:00,1965-01-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370020,http://archival.sl.nsw.gov.au/Details/archive/110366604,38,FL4519725|FL4519726|FL4519727|FL4519728|FL4519729|FL4519730|FL4519734|FL4519735|FL4519736|FL4519737|FL4519740|FL4519741|FL4519744|FL4519748|FL4519752|FL4519757|FL4519758|FL4519760|FL4519761|FL4519762|FL4519763|FL4519765|FL4519766|FL4519769|FL4519771|FL4519774|FL4519776|FL4519781|FL4519783|FL4519784|FL4519785|FL4519786|FL4519787|FL4519788|FL4519791|FL4519794|FL4519798|FL4519799,"Original negative sleeve titled No. 8 French War Ships and (C.A.A.T. boat), 4/1/65.|Includes:|French ship met by Campaign Against Atomic Test (CAAT) [Committee Against Atomic Testing] demonstrators, Sydney Harbour, 4 January 1965.|[French warships - Jeanne D'Arc and the Victor Schoelcher].",,,banners|demonstrations|sailors|warships|boats,Jeanne d'Arc (French warship)|Victor Schoelcher (French warship)|Committee Against Atomic Testing (N.S.W.),Sydney Harbour (N.S.W.)
01,01,009,ITEM,"Item 009: Tribune negatives including Transport Workers' Union meeting at Sydney Stadium and Woolworths window display, 1965",ON 161/Item 009,1046110,110370028,IE4516853,1965,1965-01-01 00:00:00,1965-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370028,http://archival.sl.nsw.gov.au/Details/archive/110366604,29,FL4516855|FL4516857|FL4516860|FL4516861|FL4516863|FL4516864|FL4516865|FL4516866|FL4516868|FL4516869|FL4516872|FL4516874|FL4516875|FL4516876|FL4516877|FL4516881|FL4516882|FL4516883|FL4516885|FL4516887|FL4516889|FL4516891|FL4516893|FL4516894|FL4516896|FL4516898|FL4516899|FL4516901|FL4516903,"Original negative sleeve annotated Nos. 1-9 Transport workers at stadium, Feb. 65|Includes:|TWU [Transport Workers' Union] meeting at Sydney Stadium, 19 February 1965, Row 1-2.|War toys at Woolworths, 25 June 1965.|Wharfies being interviewed re penal powers, 25 June 1965",,Labor unions--New South Wales--Sydney.,trade unionists|meetings|window displays|toys|trade unions|wharf labourers,Transport Workers Union of Australia. New South Wales Branch,"Sydney Stadium (Rushcutters Bay, N.S.W.)"
01,01,011,ITEM,"Item 011: Tribune negatives including portraits of Ralph Spooner, Denis Kevans, Rupert Lockwood, and Betty Searle ; Actors Equity protest at Paddington, New South Wales ; and fishing boats at Woolloomooloo, New South Wales,  ca. 1964-1965",ON 161/Item 011,1046111,110370029,IE4516723,ca. 1964-1965,1964-01-01 00:00:00,1965-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370029,http://archival.sl.nsw.gov.au/Details/archive/110366604,30,FL4516725|FL4516731|FL4516737|FL4516742|FL4516745|FL4516747|FL4516749|FL4516751|FL4516754|FL4516757|FL4516759|FL4516761|FL4516762|FL4516764|FL4516766|FL4516773|FL4516780|FL4516782|FL4516784|FL4516787|FL4516789|FL4516791|FL4516794|FL4516796|FL4516803|FL4516804|FL4516806|FL4516812|FL4516813|FL4516814,"Includes:|Pickets at Five-Ways Theatre, Paddington, 14 January 1965.||Ralph Spooner of the Miscellaneous Workers' Union [probably Federated Moulders' (Metals) Union of Australia], 18 January 1965, Row 2, nos. 5-6.|Original negative sleeve titled:|Actors Equity at 5 Ways Theatre Padd.; Fishing boats at W'loo; E.Y.L. c Dennis Kevans [i.e. Denis Kevans]; T.W.U. meeting at Syd. Stadium, Dec. 64; and Rupert and Betty Lockwood.|Sydney, Dec. 64 and Jan. 65.|Original negative sleeve annotated:|nos. 1-10 Demonstration and picketing by Actors Equity members|nos. 11-12 Mr Ralph Spooner' N.S.W. Sec. of Moulders Union|nos. 13- 22 Fishing boats at W'loo|nos. 23-25 Transport Workers Union meeting at Syd. Stadium|nos. 26-31 EYL [Eureka Youth League] camp entertainment / Dennis Kevans [i.e. Denis Kevans]|nos. 32-34 Rupert and Betty Lockwood",,Labor unions--Australia--Officials and employees.|Labor unions--New South Wales--Sydney.,demonstrations|theatres & cinemas|trade union officials|trade unions|fishing boats|performers|musicians|feminists,"Actors and Announcers Equity Association of Australia|Lockwood, Rupert, 1908-1997|Searle, Betty|Kevans, Denis, 1939-2005",Woolloomooloo (N.S.W.)|Paddington (N.S.W.)
