place,call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,topics,people
Alexandria (N.S.W.),ON 161/Item 471,471,ITEM,"Item 471: Tribune negatives including Labor Party speakers and audience and Audrey Grant, a local government candidate viewing parts of Alexandria, Sydney, August 1969",1344481,110375078,August 1969,1969-08-01 00:00:00,1969-08-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375078,http://archival.sl.nsw.gov.au/Details/archive/110374752,0,,Alexandria (N.S.W.),political rallies|politicians|streetscapes,Australian Labor Party
Alexandria (N.S.W.),ON 161/Item 472,472,ITEM,"Item 472: Tribune negatives including Audrey Grant, a local government candidate viewing parts of Alexandria, Sydney, Academics John Playford and Doug Kirsner, a social event and photos of Sydney streets, August 1969",1344483,110375080,August 1969,1969-08-01 00:00:00,1969-08-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375080,http://archival.sl.nsw.gov.au/Details/archive/110374752,0,,Alexandria (N.S.W.)|Sydney (N.S.W.),politicians|dinners|dancing|streetscapes,
"Aquatic Club (corner Riley & Cathedral Streets, Woolloomooloo, N.S.W.)",ON 161/Item 044,044,ITEM,"Item 044: Tribune negatives including portraits of Dick Dixon and Flo Davis ; mural by Noel Counihan at the Jim Healy Memorial Hall ; National Aborigines Day, Martin Place, Sydney ; and Cathedral Street, Woolloomooloo, New South Wales, July 1965",1050861,110370095,July 1965,1965-07-01 00:00:00,1965-07-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370095,http://archival.sl.nsw.gov.au/Details/archive/110366604,0,,"Aquatic Club (corner Riley & Cathedral Streets, Woolloomooloo, N.S.W.)|Cathedral Street (Woolloomooloo, N.S.W.)|Martin Place (Sydney, N.S.W.)|Aboriginal Australians--Anniversaries.",murals|children|Aboriginal peoples (Australians)|audiences|women|terrace houses|musicians,"Counihan, Noel, 1913-1986|Cluff, Flo, 1902-1990|Dixon, R. (Reginald)|Healy, Jim, 1898-1961|National Aborigines' Day (1965)"
"Australia Square (Sydney, N.S.W.)",ON 161/Item 367,367,ITEM,"Item 367: Tribune negatives including presentation to the Federal Council for the Advancement of Aboriginals, guerilla theatre by Sydney University students, September 1968",1344360,110374981,September 1968,1968-09-01 00:00:00,1968-09-30 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374981,http://archival.sl.nsw.gov.au/Details/archive/110374750,0,,"Wynyard Park (Sydney, N.S.W.)|Australia Square (Sydney, N.S.W.)",university students|theatrical productions|Aboriginal culture|presentation ceremonies,Federal Council for the Advancement of Aborigines and Torres Strait Islanders|University of Sydney
"Australian Iron and Steel (Port Kembla, N.S.W.)",ON 160/Item 0763,0763,ITEM,"Item 0763: Tribune negatives including hospitals, iron and steel works, and city views, Wollongong, New South Wales, [ca. 1983]",1051263,110370319,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,57 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370319,http://archival.sl.nsw.gov.au/Details/archive/110369625,0,,"Wollongong (N.S.W.)|Crown Street (Wollongong, N.S.W.)|Australian Iron and Steel (Port Kembla, N.S.W.)|Hospitals--New South Wales.",interiors|hospitals|posters & placards|iron & steel works|ambulances,
"Australian Lubricating Oil Refinery (Kurnell, N.S.W.)",ON 161/Item 562,562,ITEM,"Item 562: Tribune negatives including World Confederation of Organizations of the Teaching Profession, n.d.",1343939,110374917,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374917,http://archival.sl.nsw.gov.au/Details/archive/110374754,0,,"Sydney Town Hall (Sydney, N.S.W.)|Australian Lubricating Oil Refinery (Kurnell, N.S.W.)",conventions|chemical factories|oil refineries|demonstrations|banners|posters & placards|police,
"Balmain Town Hall (Balmain, N.S.W.)",ON 161/Item 123,123,ITEM,"Item 123: Tribune negatives including a wages and prices rally at Wynyard Park, and  an anti-Vietnam war meeting in Balmain Town Hall, May 1966",1260027,110373948,May 1966,1966-05-01 00:00:00,1966-05-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110373948,http://archival.sl.nsw.gov.au/Details/archive/110373897,0,,"Wynyard Park (Sydney, N.S.W.)|Balmain Town Hall (Balmain, N.S.W.)|Demonstrations--New South Wales--Sydney.|Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney",demonstrations|politicians|rallies|wages,"Calwell, Arthur A. (Arthur Augustus), 1896-1973|Wyner, Issy|Australian Council of Trade Unions"
"Bank of New South Wales (George Street, Sydney, N.S.W.)",ON 161/Item 561,561,ITEM,"Item 561: Tribune negatives including demonstration boycotting Vesteys and asserting Aboriginal land rights, n.d.",1343937,110374915,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374915,http://archival.sl.nsw.gov.au/Details/archive/110374754,0,,"Ye Olde Crusty Taverne (255 George Street, Sydney, N.S.W.)|Bank of New South Wales (George Street, Sydney, N.S.W.)|George Street (Sydney, N.S.W.)",demonstrations|posters & placards|police|arrests|banners|Aboriginal peoples (Australians),
Bankstown (N.S.W.),ON 161/Item 096,096,ITEM,"Item 096: Tribune negatives including Bankstown Prices Protest Petition Committee, anti-Vietnam War demonstrations and meetings, March 1966",1248753,110373887,March 1966,1966-03-01 00:00:00,1966-03-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110373887,http://archival.sl.nsw.gov.au/Details/archive/110366554,0,,"Bankstown (N.S.W.)|Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney|Anti-war demonstrations--New South Wales--Sydney.",demonstrations,
"Bankstown Square (Bankstown, N.S.W.)",ON 161/Item 140,140,ITEM,"Item 140: Tribune negatives including Harold Holt's arrival at Mascot from Washington, and Bankstown Square project, July 1966",1261187,110373994,17-21 July 1966,1966-07-17 00:00:00,1966-07-21 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110373994,http://archival.sl.nsw.gov.au/Details/archive/110373897,0,,"Bankstown Square (Bankstown, N.S.W.)",demonstrations,"Holt, Harold, 1908-1967"
