call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0951,0951,ITEM,"Item 0951: Tribune negatives including May Day march, Melbourne, Victoria, May-June 1986",1055243,110370607,May-June 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370607,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|demonstrators (political),
ON 160/Item 0952,0952,ITEM,"Item 0952: Tribune negatives including anti-apartheid protests, Melbourne, Victoria, 1986",1055244,110370608,1986,1986-01-01 00:00:00,1986-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370608,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|apartheid,
ON 160/Item 0953,0953,ITEM,"Item 0953: Tribune negatives including anti-apartheid protests, Sydney, New South Wales and Dang Thai Son, Vietnamese piano player, June 1986",1055245,110370609,June 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370609,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,apartheid|demonstrations|pianists,
ON 160/Item 0954,0954,ITEM,"Item 0954: Tribune negatives including work for dole demonstration at Commonwealth Employment Service and Builder Labourer's Federation protest, Sydney, New South Wales, June-July 1986",1055247,110370610,June-July 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370610,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|welfare establishments|workers,
ON 160/Item 0955,0955,ITEM,"Item 0955: Tribune negatives including wood chipping protest and National Fightback Conference, Canberra, Australian Capital Territory, June-July 1986",1055249,110370612,June-July 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370612,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|conventions|timber industry|audiences,
ON 160/Item 0956,0956,ITEM,"Item 0956: Tribune negatives including Australian People for Health, Education and Development Abroad dinner and speakers, July 1986",1055250,110370613,July 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370613,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,dinners|orators,
ON 160/Item 0957,0957,ITEM,"Item 0957: Tribune negatives including Adult Children of Alcoholics, Australian Public Service Association and Finance Sector Union stop work meeting, Sydney, New South Wales, July 1986",1055254,110370616,July 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370616,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,meetings|audiences,
ON 160/Item 0958,0958,ITEM,"Item 0958: Tribune negatives including anti-bicentennial protest and Victoria Trades Hall art project, May-July 1986",1055255,110370617,May-July 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370617,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|community art projects,
ON 160/Item 0959,0959,ITEM,"Item 0959: Tribune negatives including International Women's Day musical performances, March 1986",1055257,110370619,March 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370619,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,women|musical ensembles|musical events & activities,
ON 160/Item 0960,0960,ITEM,"Item 0960: Tribune negatives including monorail protest and stock exchange, July-August 1986",1055258,110370620,July-August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370620,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|stock exchanges,
