series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
03,08,0651,ITEM,"Item 0651: Tribune negatives including murals at Woolloomooloo, New South Wales and doctors at Trade Union Medical Co-operative Centre, 1982",ON 160/Item 0651,1046118,110370036,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370036,http://archival.sl.nsw.gov.au/Details/archive/110369622,40,FL4426728|FL4426735|FL4426737|FL4426740|FL4426743|FL4426747|FL4426750|FL4426752|FL4426755|FL4426757|FL4426759|FL4426761|FL4426768|FL4426771|FL4426773|FL4426776|FL4426778|FL4426780|FL4426782|FL4426786|FL4426789|FL4426793|FL4426797|FL4426800|FL4426803|FL4426805|FL4426808|FL4426810|FL4426812|FL4426814|FL4426816|FL4426817|FL4426819|FL4426822|FL4426825|FL4426826|FL4426831|FL4426833|FL4426834|FL4426836,"Includes:|Murals at Woolloomooloo, 1982|Women's adviser, Tasmania|Trade Union Medical Co-operative Centre, doctors, 1982",,murals|doctors (medical),,
03,08,0652,ITEM,"Item 0652: Tribune negatives including Falwell meeting Fred Nile, Parliament House, Sydney, New South Wales, April-June 1982",ON 160/Item 0652,1046119,110370037,April-June 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370037,http://archival.sl.nsw.gov.au/Details/archive/110369622,38,FL4425492|FL4425495|FL4425497|FL4425498|FL4425500|FL4425503|FL4425505|FL4425508|FL4425510|FL4425511|FL4425513|FL4425514|FL4425516|FL4425518|FL4425520|FL4425523|FL4425525|FL4425529|FL4425530|FL4425535|FL4425537|FL4425538|FL4425539|FL4425540|FL4425543|FL4425545|FL4425547|FL4425548|FL4425550|FL4425552|FL4425554|FL4425556|FL4425558|FL4425560|FL4425562|FL4425563|FL4425566|FL4425567,"Includes:|Tasmania, EZ closures, 1982|Moral majority, see Falwell|Falwell (Moral Majority) meets Nile, April 1982|Larisa Lawson, refuge, wage fight, June 1982|Refuge, Larisa Lawson demonstration, 1982|Fred Nile meets Falwell, April 1982|EZ factory regarding closure in Tasmania, 1982",,politicians|demonstrations,,
03,08,0653,ITEM,"Item 0653: Tribune negatives including Maritime workers, Cockatoo Island dockyards, and Lang Hancock's 73rd Birthday, Sydney, New South Wales, June-August 1982",ON 160/Item 0653,1046121,110370038,June-August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370038,http://archival.sl.nsw.gov.au/Details/archive/110369622,36,FL4427486|FL4427489|FL4427493|FL4427495|FL4427498|FL4427501|FL4427503|FL4427506|FL4427508|FL4427512|FL4427517|FL4427519|FL4427521|FL4427523|FL4427525|FL4427527|FL4427528|FL4427530|FL4427532|FL4427534|FL4427535|FL4427538|FL4427539|FL4427540|FL4427544|FL4427545|FL4427547|FL4427549|FL4427550|FL4427551|FL4427553|FL4427555|FL4427557|FL4427559|FL4427561|FL4427563,"Includes:|Maritime workers, Cockatoo dockyards, Sydney, June 1982|Lang Hancock, 73rd Birthday, Sydney seminar, 1982|Hiroshima day display, Sydney, August 1982",,workers|men,,
03,08,0654,ITEM,"Item 0654: Tribune negatives including Royal Prince Alfred Hospital cuts protest and nurses at New South Wales Council regarding cuts, Sydney, New South Wales, June-July 1982",ON 160/Item 0654,1046125,110370041,June-July 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370041,http://archival.sl.nsw.gov.au/Details/archive/110369622,42,FL4425459|FL4425462|FL4425465|FL4425467|FL4425468|FL4425470|FL4425471|FL4425473|FL4425475|FL4425477|FL4425478|FL4425479|FL4425481|FL4425482|FL4425483|FL4425484|FL4425485|FL4425486|FL4425487|FL4425488|FL4425489|FL4425493|FL4425494|FL4425496|FL4425499|FL4425501|FL4425502|FL4425504|FL4425506|FL4425507|FL4425509|FL4425512|FL4425515|FL4425517|FL4425519|FL4425521|FL4425522|FL4425524|FL4425526|FL4425527|FL4425528|FL4425531,"Includes:|Miners, Chullora colliery stand down, June 1982|Nurses at New South Wales Council, regarding cuts, June 1982|Nuclear Free Pacific, meeting, Sydney, July 1982|Royal Prince Alfred Hospital, Sydney, cuts demonstration, 1982",,nurses|demonstrations,,
03,08,0655,ITEM,"Item 0655: Tribune negatives including PLO and Lebanese protests, Sydney, New South Wales, July-August 1982",ON 160/Item 0655,1050828,110370074,July-August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370074,http://archival.sl.nsw.gov.au/Details/archive/110369622,32,FL4426059|FL4426062|FL4426063|FL4426066|FL4426067|FL4426068|FL4426071|FL4426073|FL4426074|FL4426076|FL4426077|FL4426078|FL4426080|FL4426082|FL4426083|FL4426084|FL4426085|FL4426087|FL4426088|FL4426090|FL4426091|FL4426092|FL4426094|FL4426096|FL4426099|FL4426102|FL4426104|FL4426107|FL4426109|FL4426111|FL4426112|FL4426113,"Includes:|Lebanese demonstration, Sydney, August 1982|Hiroshima day display, Sydney, August 1982|Aboriginal Land Rights Day, July 1982|Arbitrators Union meeting, August 1982",,Lebanese people|demonstrations,,
03,08,0656,ITEM,"Item 0656: Tribune negatives including Aborigines protest regarding Queensland Travel and land rights, August 1982",ON 160/Item 0656,1050830,110370075,August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370075,http://archival.sl.nsw.gov.au/Details/archive/110369622,40,FL4428029|FL4428033|FL4428035|FL4428037|FL4428039|FL4428041|FL4428042|FL4428043|FL4428045|FL4428046|FL4428047|FL4428048|FL4428049|FL4428050|FL4428051|FL4428052|FL4428054|FL4428055|FL4428056|FL4428057|FL4428058|FL4428060|FL4428061|FL4428062|FL4428064|FL4428065|FL4428067|FL4428068|FL4428069|FL4428071|FL4428072|FL4428073|FL4428075|FL4428076|FL4428078|FL4428079|FL4428081|FL4428082|FL4428083|FL4428084,"Includes:|Moaries house, Randwick, 1982|Migrant Teachers demonstration, regarding permanency, August 1982|Metal shop factories, 1982|Aborigines demonstration, regarding Queensland Travel, August 1982|Islington Railway Workshop, 1982|Budget graphic, fist full of dollars, 1982",,Aboriginal peoples (Australians)|demonstrations|land rights,,
03,08,0657,ITEM,"Item 0657: Tribune negatives including nurses psychiatric protest and Hiroshima Candlelight Parade, August 1982",ON 160/Item 0657,1050831,110370076,August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370076,http://archival.sl.nsw.gov.au/Details/archive/110369622,24,FL4425844|FL4425845|FL4425846|FL4425847|FL4425848|FL4425849|FL4425850|FL4425851|FL4425852|FL4425853|FL4425854|FL4425855|FL4425856|FL4425857|FL4425858|FL4425859|FL4425860|FL4425861|FL4425862|FL4425863|FL4425864|FL4425865|FL4425866|FL4425867,"Includes:|Nurses psychiatric, August 1982|Hiroshima Candlelight Parade, Sydney, 1982|Hiroshima Candlelight Parade, Melbourne, 1982|USS Goldsborough, Williamstown, 1982",,demonstrations|hospitals,,
03,08,0658,ITEM,"Item 0658: Tribune negatives including nuclear free Pacific protests, July 1982",ON 160/Item 0658,1050832,110370077,July 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370077,http://archival.sl.nsw.gov.au/Details/archive/110369622,44,FL4425917|FL4425919|FL4425920|FL4425921|FL4425922|FL4425924|FL4425926|FL4425927|FL4425928|FL4425929|FL4425930|FL4425931|FL4425932|FL4425933|FL4425934|FL4425935|FL4425936|FL4425937|FL4425938|FL4425939|FL4425940|FL4425941|FL4425942|FL4425943|FL4425944|FL4425945|FL4425946|FL4425947|FL4425948|FL4425949|FL4425950|FL4425951|FL4425952|FL4425953|FL4425954|FL4425955|FL4425956|FL4425957|FL4425958|FL4425959|FL4425960|FL4425961|FL4425962|FL4425963,"Includes:|Nuclear free Pacific demonstration, July 1982|Marijuana protest, Adelaide, 1982|Adelaide emigrant",,demonstrations|nuclear weapons tests,,
03,08,0659,ITEM,"Item 0659: Tribune negatives including oil refinery, Kwinana, Western Australia, 1982",ON 160/Item 0659,1050835,110370079,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370079,http://archival.sl.nsw.gov.au/Details/archive/110369622,41,FL4425711|FL4425714|FL4425716|FL4425717|FL4425719|FL4425720|FL4425722|FL4425724|FL4425725|FL4425726|FL4425727|FL4425728|FL4425729|FL4425730|FL4425731|FL4425732|FL4425733|FL4425734|FL4425735|FL4425736|FL4425737|FL4425738|FL4425739|FL4425740|FL4425741|FL4425742|FL4425743|FL4425744|FL4425745|FL4425746|FL4425747|FL4425748|FL4425749|FL4425750|FL4425751|FL4425752|FL4425753|FL4425754|FL4425755|FL4425756|FL4425757,"Includes:|Ray Denning, diaries, 1982|Kwinana refinery, Western Australia landscape shots|Original negative sleeve titled W.A. / Kwinana oil refinery",,oil refineries|landscapes (views),,
03,08,0660,ITEM,"Item 0660: Tribune negatives including The Age and The Herald & Weekly Times buildings, [ca. 1982]",ON 160/Item 0660,1050836,110370080,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,19 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370080,http://archival.sl.nsw.gov.au/Details/archive/110369622,19,FL4430699|FL4430702|FL4430707|FL4430709|FL4430711|FL4430713|FL4430716|FL4430717|FL4430720|FL4430723|FL4430726|FL4430727|FL4430730|FL4430733|FL4430738|FL4430741|FL4430745|FL4430746|FL4430747,"Includes:|Mass media building, The Age / The Herald & Weekly Times|Kath Elderton [?]",,newspaper buildings|mass media,,
