series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
04,,01,ITEM,"Item 01: Tribune negatives including ICI plant, Botany, New South Wales, and golf course, 197-? / photographed by Strewe",ON 162/Item 01,1045602,110369649,197-?,1970-01-01 00:00:00,1979-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369649,http://archival.sl.nsw.gov.au/Details/archive/110043817,41,FL4585951|FL4585955|FL4585960|FL4585964|FL4585965|FL4585966|FL4585969|FL4585972|FL4585975|FL4585976|FL4585977|FL4585980|FL4585981|FL4585986|FL4585989|FL4585990|FL4585991|FL4585992|FL4585993|FL4585994|FL4585996|FL4585998|FL4586000|FL4586002|FL4586005|FL4586007|FL4586008|FL4586009|FL4586010|FL4586012|FL4586014|FL4586016|FL4586017|FL4586018|FL4586020|FL4586021|FL4586022|FL4586024|FL4586025|FL4586026|FL4586029,"Original negative sleeve titled Around Sydney / Strewe.|Includes:|Taverner's Hill, Parramatta Road, Petersham|ICI plant at Botany, N.S.W.|Kings Langley, N.S.W.|Golf course|Workers - including linesmen working on telegraph poles, worker in underground cabling pit",,trucks|containers & packing equipment|chemical factories|workers|linesmen (power & telegraph)|golf courses,,"Parramatta Road (Petersham, N.S.W.)|Kings Langley (N.S.W.)"
04,,02,ITEM,"Item 02: Tribune negatives including portraits of workers and buses in Sydney, New South Wales, 197-? / photographed by Strewe",ON 162/Item 02,1045669,110369699,197-?,1970-01-01 00:00:00,1979-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369699,http://archival.sl.nsw.gov.au/Details/archive/110043817,33,FL4586313|FL4586316|FL4586317|FL4586318|FL4586319|FL4586320|FL4586322|FL4586323|FL4586324|FL4586325|FL4586327|FL4586329|FL4586331|FL4586333|FL4586335|FL4586339|FL4586343|FL4586345|FL4586346|FL4586349|FL4586350|FL4586351|FL4586352|FL4586354|FL4586356|FL4586358|FL4586362|FL4586365|FL4586366|FL4586368|FL4586369|FL4586370|FL4586371,"Original negative sleeve titled Around Sydney / Strewe|Includes:|Workers - including linesmen working on telegraph pole, bricklayer, and passengers boarding ferry|Eastern suburbs buses and depot, Sydney",,workers|linesmen (power & telegraph)|buses,,"Martin Place (Sydney, N.S.W.)"
04,,03,ITEM,"Item 03: Tribune negatives including Pyrmont Bridge and Pyrmont, New South Wales, 198-?",ON 162/Item 03,1045674,110369704,198-?,1981-01-01 00:00:00,1989-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369704,http://archival.sl.nsw.gov.au/Details/archive/110043817,41,FL4586927|FL4586929|FL4586930|FL4586933|FL4586935|FL4586938|FL4586939|FL4586947|FL4586948|FL4586950|FL4586951|FL4586952|FL4586953|FL4586955|FL4586959|FL4586961|FL4586965|FL4586968|FL4586970|FL4586973|FL4586975|FL4586976|FL4586977|FL4586978|FL4586979|FL4586981|FL4586982|FL4586985|FL4586986|FL4586989|FL4586992|FL4586995|FL4586997|FL4587001|FL4587002|FL4587003|FL4587007|FL4587008|FL4587009|FL4587010|FL4587011,"Original negative sleeve titled Around Sydney|Includes:|Pyrmont and Darling Harbour, N.S.W. - Pyrmont Bridge and rail yard|Construction and construction workers|Exterior of The Master Builders Association of N.S.W. building|Children playing in school grounds",,containers & packing equipment|workers|construction & demolition workers|children|construction sites|railway yards,,"Pyrmont Bridge (Sydney, N.S.W.)|Pyrmont (N.S.W.)"
04,,039,ITEM,"Item 039: Tribune negatives including protest meeting, Pine Gap, Northern Territory, 198-",ON 162/Item 039,1045907,110369890,198-,1980-01-01 00:00:00,1989-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369890,http://archival.sl.nsw.gov.au/Details/archive/110043817,28,FL4589279|FL4589280|FL4589284|FL4589285|FL4589286|FL4589287|FL4589288|FL4589289|FL4589290|FL4589292|FL4589294|FL4589295|FL4589297|FL4589298|FL4589299|FL4589301|FL4589303|FL4589304|FL4589307|FL4589309|FL4589313|FL4589314|FL4589315|FL4589319|FL4589321|FL4589325|FL4589327|FL4589329,"Includes:|Speaker, possibly at anti-US bases meeting.|Musical concert.|Speakers at close Pine Gap meeting.|Union picket line, probably at Haris Kitchen Cabinets P/L.|March, Sydney - banner being held 'March for a united tomorrow'.|People marching behind Communist Party of Australia banner.",Demonstrations--Northern Territory--Pine Gap,demonstrations|rallies|musical events & activities|meetings,,
04,,04,ITEM,"Item 04: Tribune negatives including high-rise buildings, Waterloo, New South Wales , 197-?",ON 162/Item 04,1045703,110369730,197-?,1970-01-01 00:00:00,1979-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369730,http://archival.sl.nsw.gov.au/Details/archive/110043817,44,FL4586834|FL4586835|FL4586836|FL4586837|FL4586838|FL4586839|FL4586840|FL4586841|FL4586842|FL4586843|FL4586844|FL4586848|FL4586849|FL4586850|FL4586853|FL4586861|FL4586862|FL4586864|FL4586865|FL4586867|FL4586868|FL4586870|FL4586872|FL4586874|FL4586876|FL4586878|FL4586886|FL4586889|FL4586890|FL4586892|FL4586896|FL4586897|FL4586899|FL4586901|FL4586903|FL4586904|FL4586906|FL4586907|FL4586909|FL4586913|FL4586916|FL4586917|FL4586919|FL4586920,"Original negative sleeve titled Around Sydney.|Includes:|Joseph Banks building, 249 George Street, Waterloo|Sundial, Captain Cook Place, Waterloo|Open space between high rise buildings with stone sculpture and Polynesian[?] hut, Waterloo|Redfern railway station|Linesmen working on telegraph poles|Workers leaving factory",,workers|linesmen (power & telegraph)|high-rise buildings|satellite dishes|railway sidings|sundials,,"Waterloo (N.S.W.)|Redfern Railway Station (Redfern, N.S.W.)"
04,,05,ITEM,"Item 05: Tribune negatives including festival in Cuba, 1978 / photographed by Mike McKay",ON 162/Item 05,1045715,110369741,ca. 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,45 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369741,http://archival.sl.nsw.gov.au/Details/archive/110043817,45,FL4585751|FL4585752|FL4585753|FL4585754|FL4585755|FL4585756|FL4585757|FL4585758|FL4585759|FL4585760|FL4585761|FL4585762|FL4585763|FL4585764|FL4585765|FL4585766|FL4585767|FL4585768|FL4585769|FL4585770|FL4585771|FL4585772|FL4585773|FL4585774|FL4585775|FL4585776|FL4585777|FL4585778|FL4585779|FL4585780|FL4585781|FL4585782|FL4585783|FL4585784|FL4585785|FL4585786|FL4585787|FL4585788|FL4585789|FL4585790|FL4585791|FL4585792|FL4585793|FL4585794|FL4585795,"Original negative sleeve titled Cuba / Mike McKay|Includes:|Festival in stadium, stadium sign Bienvenidos Delegados XI Festival, Estadio Latinamericano (probably XI World Festival of Youth and Students, Havana, Cuba)",,"festivals, celebrations etc.",,Cuba
04,,06,ITEM,"Item 06: Tribune negatives including photographs taken in Cuba, 1978 / photographed by Mike McKay",ON 162/Item 06,1045716,110369742,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,64 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369742,http://archival.sl.nsw.gov.au/Details/archive/110043817,64,FL4585954|FL4585956|FL4585957|FL4585958|FL4585959|FL4585961|FL4585962|FL4585963|FL4585967|FL4585968|FL4585970|FL4585971|FL4585973|FL4585974|FL4585978|FL4585979|FL4585982|FL4585983|FL4585984|FL4585985|FL4585987|FL4585988|FL4585995|FL4585997|FL4585999|FL4586001|FL4586003|FL4586004|FL4586006|FL4586011|FL4586013|FL4586015|FL4586019|FL4586023|FL4586027|FL4586028|FL4586030|FL4586033|FL4586037|FL4586039|FL4586040|FL4586042|FL4586044|FL4586046|FL4586047|FL4586053|FL4586057|FL4586060|FL4586063|FL4586064|FL4586068|FL4586069|FL4586071|FL4586072|FL4586074|FL4586076|FL4586082|FL4586085|FL4586087|FL4586088|FL4586090|FL4586091|FL4586093|FL4586094,"Original negative sleeve titled Cuba Mike McKay|Includes:|Bottling plant|Poster for 25th anniversary July 1953 Moncada, Cuba|City views",,"anniversaries|factories|festivals, celebrations etc.|city & town views",,Cuba
04,,07,ITEM,"Item 07: Tribune negatives including photographs taken in Cuba, 1978 / photographed by Mike McKay",ON 162/Item 07,1045728,110369753,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,68 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369753,http://archival.sl.nsw.gov.au/Details/archive/110043817,69,FL4587671|FL4587672|FL4587673|FL4587674|FL4587675|FL4587676|FL4587677|FL4587678|FL4587679|FL4587680|FL4587681|FL4587682|FL4587683|FL4587684|FL4587685|FL4587686|FL4587687|FL4587688|FL4587689|FL4587690|FL4587691|FL4587692|FL4587693|FL4587694|FL4587695|FL4587696|FL4587697|FL4587698|FL4587699|FL4587700|FL4587701|FL4587702|FL4587703|FL4587704|FL4587705|FL4587706|FL4587707|FL4587708|FL4587709|FL4587710|FL4587711|FL4587712|FL4587713|FL4587714|FL4587715|FL4587716|FL4587717|FL4587718|FL4587719|FL4587720|FL4587721|FL4587722|FL4587723|FL4587724|FL4587725|FL4587726|FL4587727|FL4587728|FL4587729|FL4587730|FL4587731|FL4587732|FL4587733|FL4587734|FL4587735|FL4587736|FL4587737|FL4587738|FL4587739,Original negative sleeve titled Cuba / Mike McKay|Includes:|East Timor (Timor  Leste) delegation with banner|City views|Musical performances|Portraits|Beach scenes,,"festivals, celebrations etc.|city & town views|beaches",,Cuba
04,,08,ITEM,"Item 08: Tribune negatives including festival in Cuba, 1978",ON 162/Item 08,1045732,110369756,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369756,http://archival.sl.nsw.gov.au/Details/archive/110043817,23,FL4585395|FL4585396|FL4585397|FL4585398|FL4585399|FL4585400|FL4585401|FL4585402|FL4585403|FL4585408|FL4585409|FL4585410|FL4585411|FL4585412|FL4585414|FL4585415|FL4585417|FL4585418|FL4585420|FL4585422|FL4585424|FL4585426|FL4585428,"Original negative sleeve titled Cuba|Includes:|Festival in stadium, probably XI World Festival of Youth and Students, Havana, Cuba|City views|Portraits",,"festivals, celebrations etc.|city & town views",,Cuba
04,,09,ITEM,"Item 09: Tribune negatives including festival in Cuba, 1978",ON 162/Item 09,1045735,110369758,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369758,http://archival.sl.nsw.gov.au/Details/archive/110043817,39,FL4586708|FL4586709|FL4586710|FL4586711|FL4586712|FL4586713|FL4586714|FL4586715|FL4586716|FL4586717|FL4586718|FL4586719|FL4586720|FL4586721|FL4586722|FL4586723|FL4586724|FL4586725|FL4586726|FL4586727|FL4586728|FL4586729|FL4586730|FL4586731|FL4586732|FL4586733|FL4586734|FL4586735|FL4586736|FL4586737|FL4586738|FL4586739|FL4586740|FL4586741|FL4586742|FL4586743|FL4586744|FL4586745|FL4586746,"Original negative sleeve titled Cuba|Includes:|Festival in stadium, probably XI World Festival of Youth and Students, Havana, Cuba|East Timor (Timor Leste) delegation with banner and Fretilin flags|Australian delegates|Bottling plant|Portraits",,"festivals, celebrations etc.",,Cuba
04,,10,ITEM,"Item 10: Tribune negatives including festival in Cuba, 1978",ON 162/Item 10,1045740,110369762,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369762,http://archival.sl.nsw.gov.au/Details/archive/110043817,24,FL4586153|FL4586155|FL4586156|FL4586157|FL4586159|FL4586160|FL4586161|FL4586165|FL4586167|FL4586170|FL4586171|FL4586173|FL4586174|FL4586175|FL4586176|FL4586178|FL4586179|FL4586181|FL4586182|FL4586184|FL4586186|FL4586187|FL4586188|FL4586189,Original negative sleeve titled Cuba|Includes:|Portraits|City views,,city & town views|city & town streets|portraits,,Cuba
04,,11,ITEM,"Item 11: Tribune negatives including festival in Cuba, 1978",ON 162/Item 11,1045741,110369763,1978,1978-01-01 00:00:00,1978-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369763,http://archival.sl.nsw.gov.au/Details/archive/110043817,36,FL4586593|FL4586594|FL4586595|FL4586596|FL4586597|FL4586598|FL4586599|FL4586600|FL4586601|FL4586602|FL4586603|FL4586604|FL4586605|FL4586606|FL4586607|FL4586608|FL4586609|FL4586610|FL4586611|FL4586612|FL4586613|FL4586614|FL4586615|FL4586616|FL4586617|FL4586618|FL4586619|FL4586620|FL4586621|FL4586622|FL4586623|FL4586624|FL4586625|FL4586626|FL4586627|FL4586628,"Original negative sleeve titled Cuba|Includes:|Festival - probably XI World Festival of Youth and Students, Havana, Cuba||Portraits and group portraits - including group portraits of children|City views",,"city & town views|portraits|children|festivals, celebrations etc.|crowds",,Cuba
04,,12,ITEM,"Item 12: Tribune negatives including kitchen possibly on building site, 1973",ON 162/Item 12,1045742,110369764,1973,1973-01-01 00:00:00,1973-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369764,http://archival.sl.nsw.gov.au/Details/archive/110043817,25,FL4586503|FL4586504|FL4586505|FL4586506|FL4586507|FL4586508|FL4586509|FL4586510|FL4586511|FL4586512|FL4586513|FL4586517|FL4586518|FL4586519|FL4586521|FL4586524|FL4586527|FL4586530|FL4586532|FL4586534|FL4586535|FL4586537|FL4586538|FL4586539|FL4586540,"Original negative sleeve titled F783 Builder Lab.|Includes:|Kitchen and bathroom, possibly on building site|Poster in kitchen for union dues for builders labourers, April 1973|Portraits",,workers|kitchens|bathrooms,,
04,,13,ITEM,"Item 13: Tribune negatives including protest against North Vietnam representatives, Sydney, New South Wales, 1973?",ON 162/Item 13,1045744,110369766,1973?,1973-01-01 00:00:00,1973-12-31 00:00:00,12 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369766,http://archival.sl.nsw.gov.au/Details/archive/110043817,12,FL4585314|FL4585315|FL4585316|FL4585317|FL4585318|FL4585319|FL4585320|FL4585321|FL4585322|FL4585323|FL4585324|FL4585325,"Original negative sleeve titled F784 Viet. Delg.|Includes:|Protest against North Vietnam representatives, Sydney|Women speaking to group on microphone",,demonstrations|crowds|Vietnamese people|women,,
04,,14,ITEM,"Item 14: Tribune negatives including press conference, 1972",ON 162/Item 14,1045748,110369770,1972,1972-01-01 00:00:00,1972-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369770,http://archival.sl.nsw.gov.au/Details/archive/110043817,36,FL4585584|FL4585586|FL4585589|FL4585591|FL4585592|FL4585595|FL4585596|FL4585598|FL4585599|FL4585601|FL4585603|FL4585604|FL4585605|FL4585608|FL4585611|FL4585615|FL4585616|FL4585618|FL4585619|FL4585620|FL4585622|FL4585623|FL4585625|FL4585626|FL4585627|FL4585629|FL4585630|FL4585635|FL4585640|FL4585641|FL4585642|FL4585643|FL4585644|FL4585647|FL4585652|FL4585654,Original negative sleeve titled|F754|2.|27.2.72|Viet. Trad U. Delg.|Sydney Airport|Includes:|Press conference|Portraits,,Vietnamese people|press conferences|delegations,,
04,,15,ITEM,"Item 15: Tribune negatives including group portraits probably of Spanish communists, 1972",ON 162/Item 15,1045758,110369778,1972,1972-01-01 00:00:00,1972-12-31 00:00:00,21 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369778,http://archival.sl.nsw.gov.au/Details/archive/110043817,21,FL4585383|FL4585384|FL4585385|FL4585386|FL4585390|FL4585393|FL4585404|FL4585405|FL4585406|FL4585407|FL4585413|FL4585416|FL4585419|FL4585421|FL4585423|FL4585425|FL4585427|FL4585429|FL4585430|FL4585433|FL4585436,"Original negative sleeve titled F765 / 28.2.72 /Spanish Comm. General|Includes:|Portraits and group portraits, probably of Spanish communists|Sydney[?] University Communist[?] Club banner|Two males looking at publication titled Universitat|Male speaker",,portraits,,
