call_number,series_number,part_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,collection_url,number_children,subjects,people
ON 161/Items 001-050,01,01,SERIES,"Series 01 Part 01: Tribune negatives, items 001-050, ca. 1963-1965",1328047,110366604,ca. 1963-1965,1960-01-01 00:00:00,1969-12-31 00:00:00,1344 negatives,http://archival.sl.nsw.gov.au/Details/archive/110366604,http://archival.sl.nsw.gov.au/Details/archive/110037137,42,,
ON 161/Items 051-100,01,02,SERIES,"Series 01 Part 02: Tribune negatives, items 051-100, between 1965-1966",1328058,110366554,1965-1966,1965-01-01 00:00:00,1966-12-31 00:00:00,1490 negatives,http://archival.sl.nsw.gov.au/Details/archive/110366554,http://archival.sl.nsw.gov.au/Details/archive/110037137,45,,
ON 161/Item 101-150,01,03,SERIES,Series 01 part 03: Tribune negatives items 101-150 featuring social and political movements 1965-1966,1336700,110373897,1965-1966,1965-01-01 00:00:00,1966-12-31 00:00:00,1472 photographs,http://archival.sl.nsw.gov.au/Details/archive/110373897,http://archival.sl.nsw.gov.au/Details/archive/110037137,42,,
ON 161/Item 151-200,01,04,SERIES,Series 01 part 04: Tribune negatives items 151-200 featuring social and political movements 1966-1967,1336720,110374028,1966-1967,1966-01-01 00:00:00,1967-12-31 00:00:00,1703 photographs,http://archival.sl.nsw.gov.au/Details/archive/110374028,http://archival.sl.nsw.gov.au/Details/archive/110037137,49,,
ON 161/Item 201-250,01,05,SERIES,Series 01 part 05: Tribune negatives items  201-250 featuring social and political movements 1965-1967,1336721,110366667,1965-1967,1965-01-01 00:00:00,1967-12-31 00:00:00,1592 photographs,http://archival.sl.nsw.gov.au/Details/archive/110366667,http://archival.sl.nsw.gov.au/Details/archive/110037137,46,,
ON 161/Item 251-300,01,06,SERIES,Series 01 part 06: Tribune negatives items  251-300 featuring social and political movements 1967-1968,1336722,110374463,1967-1968,1967-01-01 00:00:00,1968-12-31 00:00:00,1632 photographs,http://archival.sl.nsw.gov.au/Details/archive/110374463,http://archival.sl.nsw.gov.au/Details/archive/110037137,50,,
ON 161/Item 301-351,01,07,SERIES,Series 01 part 07: Tribune negatives items  301-350 featuring social and political movements ca. 1968,1336723,110374573,1968,1968-01-01 00:00:00,1968-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374573,http://archival.sl.nsw.gov.au/Details/archive/110037137,48,,
ON 161/Item 351-400,01,08,SERIES,Series 01 part 08: Tribune negatives items  351-400 featuring social and political movements 1964-1972,1336729,110374750,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374750,http://archival.sl.nsw.gov.au/Details/archive/110037137,32,"Aboriginal Tent Embassy (Canberra, A.C.T.)|Communists|demonstrations|meetings|Adult Females|Adult Males",Communist Party of Australia
ON 161/Item 401-451,01,09,SERIES,Series 01 part 09: Tribune negatives items 401-451 featuring social and political movements 1964-1972,1336730,110374751,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374751,http://archival.sl.nsw.gov.au/Details/archive/110037137,29,,
ON 161/Item 451-500,01,10,SERIES,Series 01 part 10: Tribune negatives items 451-500 featuring social and political movements 1964-1972,1336731,110374752,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374752,http://archival.sl.nsw.gov.au/Details/archive/110037137,50,,
ON 161/Item 501-550,01,11,SERIES,Series 01 part 11: Tribune negatives items  501-550 featuring social and political movements 1970,1336733,110374753,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374753,http://archival.sl.nsw.gov.au/Details/archive/110037137,40,,
ON 161/Item 551-600,01,12,SERIES,Series 01 part 12: Tribune negatives items  551-600 featuring social and political movements 1964-1972,1336734,110374754,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374754,http://archival.sl.nsw.gov.au/Details/archive/110037137,50,,
ON 161/Item 601-650,01,13,SERIES,Series 01 part 13: Tribune negatives items  601-650 featuring social and political movements 1964-1972,1336752,110374766,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110374766,http://archival.sl.nsw.gov.au/Details/archive/110037137,48,,
ON 161/Item 651-700,01,14,SERIES,Series 01 part 14: Tribune negatives items  651-700 featuring social and political movements around 1972,1336753,110366672,1964-1972,1964-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110366672,http://archival.sl.nsw.gov.au/Details/archive/110037137,40,,
ON 161/Item 701-739,01,15,SERIES,Series 01 part 15: Tribune negatives items  701-739 featuring social and political movements 1972,1336754,110366677,1972,1972-01-01 00:00:00,1972-12-31 00:00:00,,http://archival.sl.nsw.gov.au/Details/archive/110366677,http://archival.sl.nsw.gov.au/Details/archive/110037137,29,,
ON 160/Items 0001-0050,02,01,SERIES,"Series 02 Part 01: Tribune negatives, Items 0001-0050, 1974-1977",1045554,110368842,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1676 negatives,http://archival.sl.nsw.gov.au/Details/archive/110368842,http://archival.sl.nsw.gov.au/Details/archive/110037137,50,,
ON 160/Items 0051-0100,02,02,SERIES,"Series 02 Part 02: Tribune negatives, items 0051-0100, 1974-1977",1045556,110369195,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1334 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369195,http://archival.sl.nsw.gov.au/Details/archive/110037137,50,,
ON 160/Items 0101-0150,02,03,SERIES,"Series 02 Part 03: Tribune negatives, items 0101-0150, 1974-1977",1045557,110369261,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1408 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369261,http://archival.sl.nsw.gov.au/Details/archive/110037137,49,,
ON 160/Items 0151-0200,02,04,SERIES,"Series 02 Part 04: Tribune negatives, items 0151-0200, 1974-1977",1045558,110369351,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1009 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369351,http://archival.sl.nsw.gov.au/Details/archive/110037137,43,,
ON 160/Items 0201-0250,02,05,SERIES,"Series 02 Part 05: Tribune negatives, items 0201-0250, 1974-1977",1045559,110369404,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1054 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369404,http://archival.sl.nsw.gov.au/Details/archive/110037137,49,,
ON 160/Items 0251-0298,02,06,SERIES,"Series 02 Part 06: Tribune negatives, items 0251-0298, 1974-1977",1045560,110369472,1974-1977,1974-01-01 00:00:00,1977-12-31 00:00:00,1302 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369472,http://archival.sl.nsw.gov.au/Details/archive/110037137,47,,
ON 160/Items 0301-0350,03,01,SERIES,"Series 03 Part 01: Tribune negatives, items 0301-0350, 1978-1990",1045567,110369529,1978-1990,1978-01-01 00:00:00,1990-12-31 00:00:00,1296 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369529,http://archival.sl.nsw.gov.au/Details/archive/110037137,47,,
