article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
236252112,MENZIES SEEKS WAGE CUT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-09-12,Article,553,N,0,,
236252128,SOBLEN DIES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-09-12,Article,33,N,0,,
236252144,MT. ISA NOT SETTLED UNTIL BONUS IS PAID,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-11-29,Article,318,N,0,,
236252160,JOBLESS! MENZIES MUST ANSWER...,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-11-29,Article,314,Y,0,,
236252176,Freedom going,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-11-29,Article,56,N,0,,
236252192,C. P. POLICY FOR PEACE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-11-29,Article,198,N,0,,
236252208,Polling day next Saturday Broken Hill calls for a better deal for the people,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-11-28,Article,678,Y,0,,
236252224,FED. UNIONS MEETING REJECTS SPLITTERS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1962-11-28,Article,540,N,0,,
236252240,Aborigine children ravaged by disease live in squalor,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-11-28,Article,1172,Y,0,,
236252256,Unions protest on penal law,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-11-28,Article,180,N,0,,
236252272,SEATO chokes off vast Asian Market from Aust. outed by U.S.,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1962-10-10,Article,1552,N,0,,
236252288,Common Market Special Issue,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-10-10,Article,52,N,0,,
236252304,Latins shun Cuba invasion,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-10-10,Article,427,N,0,,
236252320,UNITED CONFERENCE ON SOUTH COAST,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-10-10,Article,508,Y,0,,
236252336,"LESS BILLING, MORE COOING",1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1962-06-13,Article,5,Y,0,,
236252352,Power workers support youth delegate,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-06-13,Article,128,N,0,,
236252368,PREMIER REPLIES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-06-13,Article,259,N,0,,
236252384,"Boilermakers name NCC ""Anti-worker""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1962-06-13,Article,576,N,0,,
236252400,"Bank clerks' ""NO"" to Saturday work",1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-05-23,Article,399,N,0,,
236252416,Menzies' gift to profit-hungry banks,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-05-23,Article,524,N,0,,
236252432,S.A. COMMUNIST CANDIDATES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-05-23,Article,93,N,0,,
236252448,WHAT'S ON,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-05-23,"Detailed lists, results, guides",392,N,0,,
236252464,LETTERS Tax anomaly,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-12-13,Article,189,N,0,,
236252480,They'll never save him,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1961-12-13,Article,4,Y,0,,
236252496,New discrimination: Uni. man resigns,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-12-13,Article,150,N,0,,
236252512,Castro's speech on Marxism distorted,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-12-13,Article,433,N,0,,
236252528,Power houses may stop,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-08-02,Article,111,N,0,,
236252544,MIGRANT WOMEN'S PROBLEMS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-08-02,Article,539,N,0,,
236252560,MASS PETITION FOR JOBS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-08-02,Article,423,N,0,,
236252576,First group of Soviet tourists reaches Australia,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-08-02,Article,517,N,0,,
236252592,COMMUNIST PARTY PROTESTS TO ABC,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-10-25,Article,646,N,0,,
236252608,Letters to the Editor Migrant women protest on food,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1961-10-25,Article,125,N,0,,
236252624,RAILMEN GINGER UP WA ASSEMBLY Seek extra leave,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-10-25,Article,712,N,0,,
